"vendorproductid","vendorid","productid","price","quantity","description"
1,1,1,"799.99",50,"Apple iPhone 14 - 128GB, Midnight"
2,1,2,"749.99",40,"Samsung Galaxy S23 - 128GB, Phantom Black"
3,2,3,"119.99",30,"Genuine leather jacket for men - Black"
4,2,4,"89.99",25,"Stylish handbag for women - Red faux leather"
5,3,5,"59.49",35,"Multi-speed blender with jar and grinder"
6,3,6,"79.00",20,"Non-stick cookware set - 5 pieces"
7,4,7,"9.99",100,"Classic novel by F. Scott Fitzgerald"
8,4,8,"34.95",70,"Comprehensive guide for coding interviews"
9,5,9,"29.99",60,"Vanilla flavored protein powder - 1kg"
10,5,10,"45.00",50,"Rechargeable electric toothbrush with 3 heads"
11,6,11,"15.49",45,"Eco-friendly yoga mat - 6mm thick"
12,6,12,"39.99",15,"Helmet with LED light - Adjustable size"
13,7,13,"24.99",80,"Creative Lego blocks set - 500 pieces"
14,7,14,"59.95",30,"High-speed RC car with remote - 1:16 scale"
15,8,15,"39.90",40,"Portable vacuum for car interiors"
16,8,16,"10.00",65,"Mobile holder with adjustable arm for cars"
17,9,17,"49.99",45,"Complete makeup kit with brushes"
18,9,18,"22.50",70,"Vitamin C face serum - 30ml"
19,10,19,"14.25",90,"1kg Organic Basmati Rice - Premium Quality"
20,10,20,"8.99",120,"Green tea bags - 100 count"
21,10,21,"11.50",30,"Nylon dog leash - 5ft length"
22,10,22,"16.75",25,"Dry cat food - Salmon flavor, 2kg bag"
23,10,23,"4.99",100,"Smooth-writing ball pens - blue ink"
24,10,24,"19.99",20,"Memory foam cushion for office chairs"
25,10,25,"89.00",15,"Gold plated earrings with floral design"
26,10,26,"69.00",18,"Sterling silver bracelet - adjustable"
27,10,27,"129.99",12,"Acoustic guitar with case and picks"
28,10,28,"399.99",10,"Digital piano - 61 keys, touch sensitive"
29,10,29,"15.99",60,"Baby diapers - medium size, 48 pcs"
30,10,30,"199.99",8,"Foldable baby stroller with canopy"
